category,headline,subtext
Defining Moment,The world confronts polio as a global threat,"Over 350,000 children were paralyzed every year across 125+ countries — nearly 1,000 a day."
Defining Moment,Brazil shows polio can be stopped,A nationwide campaign slashed cases to just 122 in one year.
Key Milestone Towards Eradication,Brazil drives cases near zero,Repeated campaigns pushed infections down to around 70.
Key Milestone Towards Eradication,Dominican Republic eliminates polio,National Immunization Days ended transmission entirely.
Defining Moment,Finland halts a rare outbreak,Tens of thousands were vaccinated within weeks to stop the spread.
Defining Moment,A global citizens’ movement begins,Rotary launches PolioPlus as the Americas commit to eradication by 1990.
Key Milestone Towards Eradication,150 million children vaccinated in one year,Mass campaigns showed the world what scale was possible.
Defining Moment,Investment and vigilance cut cases sharply,The Americas saw a two-thirds drop thanks to stronger surveillance and funding.
Top Headline,The Global Polio Eradication Initiative launches,A united plan promised that no child should ever suffer polio again.
Defining Moment,Oman outbreak exposes hidden risks,"Despite high routine coverage, polio struck — proving campaigns must go further."
Key Milestone Towards Eradication,Global lab network takes shape,More than 140 labs worldwide began tracing the virus sample by sample.
Key Milestone Towards Eradication,Last indigenous case in the Americas,"Peru recorded the region’s final case, proving continental elimination was possible."
Defining Moment,Outbreak strikes unvaccinated groups in Europe,Dozens were paralyzed in vaccine-refusing communities in the Netherlands.
Key Milestone Towards Eradication,United States confirms no wild polio circulation,Surveillance showed the virus was gone after decades of fear.
Key Milestone Towards Eradication,The Americas certified polio-free,"From Canada to Chile, families celebrated a polio-free future."
Defining Moment,India launches Pulse Polio Days,Nearly 90 million children were vaccinated in a single day — twice.
Defining Moment,Mandela calls to 'Kick Polio Out of Africa',A movement across 50+ countries galvanized leaders and communities.
Key Milestone Towards Eradication,Last wild case in Western Pacific,Cambodia reported the region’s final infection.
Key Milestone Towards Eradication,Europe records its last indigenous case,Turkey reported the region’s final wild case of polio.
Key Milestone Towards Eradication,Last case of polio type 2 recorded,A child in India was the final case of a strain later declared eradicated.
Key Milestone Towards Eradication,Western Pacific certified polio-free,550 million children had been immunized across the region.
Defining Moment,"Fewer endemic countries, new risks","Wild polio dropped below 1,000 cases, but dangerous flare-ups emerged."
Key Milestone Towards Eradication,Europe certified polio-free,Nearly 870 million people now lived in certified regions.
Defining Moment,Vaccine suspensions trigger global spread,A pause in northern Nigeria re-seeded outbreaks in 20+ countries.
Defining Moment,Africa unites in synchronized campaigns,20 countries coordinated to vaccinate 80 million children in days.
Defining Moment,Sharper tools target stubborn outbreaks,New monovalent vaccines gave health workers faster control.
Defining Moment,Only four endemic countries remain,"Afghanistan, India, Nigeria, and Pakistan were the final frontlines."
Defining Moment,400 million children vaccinated in a year,Health workers crossed mountains and rivers to reach every last child.
Defining Moment,Outbreaks sweep across West Africa,Importations sparked new cases in more than 20 countries.
Defining Moment,Central Africa outbreaks contained,Rapid campaigns stopped the virus before it could spread further.
Defining Moment,Explosive outbreaks in Tajikistan and Congo stopped,Nearly 900 cases were contained within months by rapid response.
Key Milestone Towards Eradication,India records its last polio case,"In a nation of 1.2 billion, polio went from 741 cases to zero in two years."
Key Milestone Towards Eradication,Last case of polio type 3 recorded,Nigeria reported the final infection of a strain later declared eradicated.
Defining Moment,Vaccination continues despite war,22 million children were immunized in Syria and Iraq amid conflict.
Top Headline,South-East Asia certified; WHO declares global emergency,1.8 billion people gained polio-free status even as spread was declared an emergency.
Top Headline,Polio type 2 eradicated worldwide,Certification confirmed one of three wild strains was gone forever.
Defining Moment,The largest vaccine switch in history,150 countries changed formulations within weeks to stay ahead of the virus.
Defining Moment,Vaccine-derived outbreaks outnumber wild cases,Wild polio hit a record low of 22 cases as new flare-ups grew.
Defining Moment,Technology sharpens the hunt,Digital surveillance tools helped find the virus faster than ever.
Key Milestone Towards Eradication,Type 3 polio declared eradicated,Two of three wild forms were officially gone.
Top Headline,Africa certified free of wild polio,"Despite COVID-19, 1.8 billion people across 47 countries reached this milestone."
Defining Moment,New vaccine and new access,A next-generation vaccine rolled out as Afghanistan resumed nationwide campaigns.
Defining Moment,Polio resurfaces in wealthy countries,A paralysis case in New York and virus in London sewage showed no country is safe.
Defining Moment,Mixed progress with new tools,"Wild cases shrank to 12, but outbreaks spread to 8 more countries."
Defining Moment,Dozens of outbreaks tracked and tackled,"WHO mapped 74 flare-ups in 39 countries, triggering rapid drives."
Defining Moment,The finish line is in sight,"Polio is reduced by 99%, but the last 1% is the hardest and riskiest to ignore."
